id,ret
12,您好！关于快递员服务投诉，您可以按以下方式处理：记录快递员的工号或姓名，然后联系我们客服反馈具体情况，我们会严肃处理并跟进结果。您也可以直接拨打快递公司客服热线进行投诉。如需我们协助跟进，请提供订单号，我们来帮您处理。
13,您好！关于这两个问题，给您详细说明一下： 【质量问题退换货】支持7天无理由退换货，商品需保持完好、配件齐全、包装完整。如果是质量问题，运费由卖家承担，您不用担心这块费用。超过7天如果还有质量问题，也可以申请售后维修服务。 【投诉客服处理流程】根据不同情况处理方式不同：收到的商品与描述不符，支持退换货，运费卖家出；收到二手商品，提供照片核实后全额退款；收到假货，提供鉴定证明核实后三倍赔偿；如果是快递员态度问题，记录工号反馈给我们，会严肃处理。 有任何疑问欢迎随时联系我们！
14,您好！关于这两个问题，给您详细说明一下： 收到疑似二手或拆封商品的话，请您拍下商品照片（包括包装、外观、配件等），联系客服提交照片。我们核实后会为您安排全额退款，运费由卖家承担，不会让您吃亏的。 关于退换货政策：支持7天无理由退换货，商品需保持完好、配件齐全、包装完整。如果是商品质量问题，运费由卖家承担；非质量原因退货则由买家承担运费。超过7天如果出现质量问题，也可以申请售后维修服务。
15,您好！关于假货投诉和虚假宣传赔偿，给您说明一下： 假货投诉处理：收到假货后，您需要提供鉴定证明，我们核实后会给予三倍赔偿。 虚假宣传赔偿：如果商品与描述不符，支持退换货，运费由卖家承担。 如需进一步处理，欢迎联系客服，我们会尽快为您跟进！
16,您好！关于外观划痕是否符合换货条件，需要区分情况来看：如果划痕是商品本身的质量问题（收到时就有），属于商品与描述不符，支持退换货，运费由卖家承担。但如果是您在使用过程中造成的人为损坏，则不在免费换货范围内。另外，换货需要在7天内申请，且商品需配件齐全、包装完整。建议您拍照留证，联系客服说明情况，我们会根据实际核实结果为您处理。
17,您好！关于换货包装的问题，我们的政策要求商品包装完整才能支持换货。如果原包装已丢失，可能会影响换货资格，建议您联系客服说明具体情况，我们会根据实际情况为您处理。另外，换货本身不收取包装费，但需要注意退货运费由买家承担，如果是质量问题导致的换货，运费则由我们承担。
18,您好！超过7天无理由退货期限后，如果商品存在质量问题，仍然可以申请售后维修服务。退款会在确认收货后1-3个工作日原路退回，如使用信用卡支付可能还需额外3-7个工作日到账。如有其他疑问欢迎随时联系我们！
19,您好！关于说明书的问题：纸质版方面，产品包装内通常会随附用户手册，但部分型号可能仅提供可选文档（如保修卡等），具体以实际包装内容为准。电子版说明书可通过官方网站获取，网站会提供最新的硬件和软件产品信息，您也可以通过随附的支持光盘（Support DVD）查阅相关手册内容。如需进一步帮助，欢迎联系官方客服或访问官网联系页面。
20,您好！关于国际配送，根据我们目前的配送政策，暂不支持港澳台及海外地区配送，仅支持中国大陆地区（含大部分乡镇）。因此国际运费计算规则及国际配送时效暂无相关信息可提供。如您有海外配送需求，建议联系客服进一步咨询是否有其他解决方案。
21,您好！关于发票开具，为您解答两个问题： 企业抬头发票开具，下单时请在备注中填写发票抬头（公司名称）和税号，我们会按照您提供的信息开具增值税普通发票或电子发票。 如果发票抬头填写有误，直接联系客服说明情况，提供正确的抬头和税号，客服会为您重新开具。
22,您好！关于已使用商品发现瑕疵的售后问题，是支持的。具体情况如下： 7天内发现质量问题，可申请退换货，运费由卖家承担。超过7天如有质量问题，可申请售后维修。 关于售后方式：保修期内的质量问题以免费维修为主，维修周期一般7-15个工作日。如果商品与描述不符，则支持退换货。人为损坏、进水、拆机等情况不在免费维修范围内，需收取维修费用。 如需申请售后，建议您提供商品照片，方便我们核实情况，为您安排最合适的处理方式！
23,您好！关于已付款订单的取消及退款政策，为您说明如下：支持7天无理由退换货，商品需保持完好、配件齐全、包装完整。退款会在确认收货后1-3个工作日原路退回您的支付账户；如使用信用卡支付，可能还需额外3-7个工作日到账，具体以发卡行处理时间为准。如需取消订单或申请退款，请联系客服处理。
24,您好！关于售后保障卡的问题，根据我们现有的售后政策，商品支持7天无理由退换货及质量问题售后维修服务。目前检索到的信息中没有关于售后保障卡的具体说明，建议您联系客服进一步确认是否随商品附带保障卡。关于保障卡丢失是否影响售后，同样建议直接咨询客服核实，以便给您最准确的答复。
25,您好！关于以旧换新服务，部分商品支持此活动，具体支持范围以商品页面公示为准。如需了解您购买的商品是否支持以旧换新，以及详细的参与流程和优惠力度，欢迎直接联系我们的客服，我们会为您一一解答！
26,"您好！关于智能客服的服务范围，我们主要支持产品使用咨询、订单查询、发票开具、快递问题、以旧换新等常见问题的解答。如果您的问题比较复杂或智能客服无法解决，可以随时转接人工客服——直接在对话框中发送""人工客服""或""转人工""即可，我们的人工客服会尽快为您服务。"
33,您好！关于7天无理由退货政策，收到商品后7天内均可申请无理由退货。退货时需满足以下条件：商品完好无损、配件齐全、包装完整。退货运费由买家承担，若属于质量问题则由卖家承担运费。超过7天如有质量问题，仍可申请售后维修服务。如需发起退货，欢迎联系客服为您处理！
34,您好！关于少发漏发的问题，处理流程是这样的：请您先核对收到的商品和订单清单，确认缺少哪件商品，然后联系客服并提供订单号和缺货说明，我们会为您安排补寄。补寄时效一般与正常发货相同，会尽快安排快递上门取件，通常24小时内完成揽收。由于是我方发货失误导致的漏发，补寄产生的运费全部由卖家承担，您无需支付任何费用。
35,您好！关于换货政策，我们支持7天无理由退换货。换货需满足以下条件：商品完好无损、配件齐全、包装完整。如果是您个人原因申请换货，运费由您承担；如果是商品质量问题，运费由我们承担。超过7天后如遇质量问题，也可以申请售后维修服务。如有其他疑问欢迎随时联系我们！
36,您好，关于查看产品生产日期，由于您没有提供具体的产品信息，我暂时无法给出准确的指引。一般来说，生产日期通常印在产品包装的底部或侧面，也可能在产品本体的铭牌上。如果您能告诉我具体是哪款产品，我可以为您提供更准确的查找方式哦～
37,您好！大件商品（如空调、冰箱）是支持上门安装服务的，小件商品通常不提供此服务。具体是否支持上门安装，建议您查看对应商品的详情页，上面会有明确说明哦～
39,您好！关于质量问题的售后保障，为您说明如下： 保修条件方面，保修期内因产品质量问题可享受免费维修服务。但以下情况不在免费保修范围内：人为损坏、进水、私自拆机，这些情况需要收取维修费用。 保修期限方面，目前检索到的信息中未明确标注具体保修年限，建议您查看随产品附带的保修卡或联系客服确认您所购产品的具体保修期。保修卡如有遗失，凭购买记录同样可以享受售后服务。 售后申请流程：首先确认问题属于质量问题范畴，然后联系客服说明情况并提供购买记录或保修卡，寄送产品至维修中心，维修周期一般为7至15个工作日。如商品与描述不符，支持退换货且运费由卖家承担。
40,您好！关于换货政策，我们支持7天无理由换货，商品需保持完好、配件齐全、包装完整。如果是质量问题导致的换货，运费由我们承担；非质量原因的换货，运费由您承担。超过7天如有质量问题，也可以申请售后维修服务。关于换货差价处理：如果您换的新商品价格更高，需要补差价；如果价格更低，差价会退还给您。如有其他疑问欢迎继续咨询！
41,您好！关于快递丢失的处理，您可以按以下步骤操作：联系我们客服发起丢件调查，我们会协助您向快递公司核实情况。一旦确认快递确实丢失，我们会为您安排免费补发或全额退款，您可以选择其中一种方式处理。 关于赔偿标准和时效：确认丢失后，我们承诺为您补发商品或退款，不会让您承担任何损失。处理时效一般在核实确认后1-3个工作日内完成，具体以实际情况为准。如有疑问随时联系客服，我们会全程跟进！
42,您好！关于已使用商品的退款政策，我们支持7天无理由退换货，但商品需保持完好、配件齐全、包装完整。如果商品已经使用，可能会影响退货资格，建议您联系客服说明具体情况。超过7天如有质量问题，仍可申请售后维修服务。退款确认后会在1-3个工作日原路退回，信用卡退款可能需额外3-7个工作日。
43,您好！如果快递无人签收，通常快递员会将包裹存放在快递柜或代收点，并通过短信或电话通知您取件。如果超过存放期限仍未取件，包裹可能会被退回。建议您及时查看短信通知，前往指定地点取件。如果包裹已退回或出现异常，欢迎联系我们客服，我们会帮您跟进处理。
44,您好！关于优惠券的使用，目前检索到的资料中暂未包含优惠券相关政策的具体说明。建议您联系我们的客服热线或在购买页面查看最新优惠活动详情，我们会为您提供准确的优惠券适用范围和使用限制信息。
45,您好！关于终身维修服务政策，根据我们现有的售后信息，目前提供的是保修期内质量问题免费维修的服务，暂未查询到终身维修的相关政策说明。建议您联系我们的客服或授权服务中心，提供购买凭证，由专员为您核实具体的保修及维修政策，以获得最准确的答复。
46,您好！关于这两个问题我来分别说明。维修超时方面，我们承诺的维修时效是7-15个工作日，如果您已超过15个工作日还未收到，建议您立即联系我们的客服，我们会优先跟进您的维修进度，并视情况给予相应补偿或解决方案。关于以翻新机冒充新机的情况，这属于严重的产品质量欺诈问题。您可以申请退货退款，运费由我们承担，同时可依据消费者权益保护法要求三倍赔偿。建议您保留好相关证据（如开箱视频、产品序列号等），联系客服发起投诉，我们会第一时间为您处理。
47,您好！关于您提到的三个问题，分别说明如下： 一、质量问题换货：收到商品后发现质量问题，请联系客服并提供照片或视频说明情况，核实后安排换货，换货运费由卖家承担。 二、少发商品补寄：收到包裹后发现少发，请拍照留存并联系客服，提供订单号及缺少商品信息，核实后会尽快安排补寄，运费由卖家承担。 三、企业采购发票重开：如需重开发票，请联系客服提供原发票信息、企业税号及开票资料，审核通过后会重新开具并寄出或发送电子发票。 如有任何疑问欢迎随时联系我们！
48,您好！关于您提到的几个问题，给您详细说明一下：收到包装破损或商品受潮的情况，属于质量问题，支持7天内退换货，运费由卖家承担，您只需联系客服提供照片核实即可。如果收到的是假货，提供鉴定证明后可获得三倍赔偿。关于临近过期食品，如商品与描述不符（如实际保质期与页面不一致），同样支持退换货，运费卖家承担。若您已食用了问题商品并出现健康问题，建议第一时间保留商品及相关凭证，联系客服说明情况，我们会根据实际情况为您处理赔付事宜。如有任何疑问，随时联系我们哦！
49,您好！关于签收后包装破损的售后申请，需要您在签收时或签收后第一时间拍摄包装破损及商品受损的照片留存，然后联系客服提交申请。如果是商品与描述不符或收到受损商品，支持退换货，运费由卖家承担；如核实为快递运输导致的损坏，会为您协调处理。 关于快递运输损坏的责任认定，建议您：一是保留所有破损包装和商品的照片作为证据；二是记录快递单号及签收时间；三是联系客服提交照片，我们核实后会根据实际情况安排退款或补发，并向快递公司发起投诉。如快递员服务态度有问题，记录工号反馈给我们，会严肃处理。
50,您好！关于这两个问题，我来分别解答一下。 免费安装服务方面，根据我们的规定，安装或移机时需联系授权服务中心，由专业人员上门操作。免费安装通常包含标准安装流程，但如果涉及特殊线路改造、额外材料或非标准安装环境，可能会产生额外费用，建议您在预约安装时提前与客服确认具体情况。 如果安装人员操作不当导致商品损坏，您可以按以下步骤处理：第一步，第一时间拍照或录像留存损坏证据；第二步，联系我们客服，说明情况并提供相关证明；第三步，我们会核实安装记录，确认属于安装人员操作失误的，将为您安排免费维修或赔偿处理。整个处理周期一般在7-15个工作日内完成。 如有其他疑问，随时联系我们！
51,您好！关于这两个问题，给您详细说明一下。 质保期内维修收取配件费是否合规：根据我们的售后政策，保修期内因产品质量问题导致的维修是免费的，包括配件更换。但如果是人为损坏、进水或私自拆机造成的问题，则需要收取相应费用。如果您认为自己的情况属于质量问题却被收取了配件费，可以这样申诉：保留好维修单据和费用凭证，联系我们客服提供购买记录和故障描述，我们会重新核实并为您处理，符合免费维修条件的费用会予以退还。 关于维修超时的处理：我们承诺的维修时限是7-15个工作日。如果超出这个时限还未完成维修，您可以直接联系客服反馈，我们会优先跟进您的维修进度，并根据实际延误情况给予相应补偿。建议您保留好报修记录和沟通记录，方便我们核实处理。
52,您好！关于大型设备返厂维修，我们的流程是：联系客服确认故障情况后，将设备寄回我们的维修中心，维修周期一般为7-15个工作日。维修完成后我们会第一时间通知您并安排寄回。 关于运输途中损坏的责任认定：如果是质量问题导致的返厂维修，寄回运费由我们承担，运输过程中若发生损坏，责任由承运方负责，我们会协助您处理理赔事宜。如果是人为损坏送修，运输费用由您承担，建议您在寄出前做好包装防护，并购买运输保险，运输损坏需向快递公司索赔。如有疑问欢迎随时联系我们！
53,您好！关于试用期相关政策，为您说明如下： 一、试用期间非人为故障处理：试用期内若出现非人为原因导致的故障，属于产品质量问题，运费由卖家承担，支持退换货处理。 二、试用期延长申请：目前检索到的资料中暂无试用期延长申请的相关政策说明，建议您直接联系客服人工咨询，我们会为您进一步核实。 三、试用期间故障商品换货：试用期内因质量问题导致故障的商品，支持7天无理由退换货，商品需保持完好、配件齐全、包装完整，质量问题产生的运费由卖家承担。如超出7天仍有质量问题，可申请售后维修服务。
54,您好！关于临期商品的退货退款和赔偿问题，我们支持7天无理由退换货，商品需保持完好、配件齐全、包装完整。如果临期商品存在质量问题，退货运费由卖家承担；若是您主动退货，运费则由买家承担。关于赔偿申请，目前我们的政策中暂未包含临期商品的专项赔偿条款。如您对收到的临期商品有疑虑，建议您联系客服说明具体情况，我们会根据实际情况为您协商处理。
55,您好！关于您的两个问题，为您解答如下： 一、商品与描述不符（色差）的换货流程：色差属于商品与描述不符的情况，支持退换货，运费由卖家承担。您可以直接发起换货申请，提供商品照片作为凭证，客服核实后会为您安排换货处理。 二、商品有异味是否属于质量问题：异味情况需要具体判断。若是新品本身材质气味（如新品特有气味，使用几次后会消失），通常不属于质量问题。但若异味明显异常、影响正常使用，则可认定为质量问题，符合换货条件。建议您拍摄视频或照片记录情况，联系客服说明具体异味来源，客服会根据实际情况为您判定并协助处理。质量问题换货运费由卖家承担。
57,您好！关于收货后发现商品损坏的售后问题，即使当时没有当场验货，也是可以申请售后的，请放心。 申请流程如下：拍摄商品损坏的清晰照片作为凭证，然后联系客服提交售后申请，说明损坏情况并上传照片。客服核实后会为您安排退换货处理，运费由卖家承担。 关于时限，建议您收到商品后尽快申请，发现问题后请第一时间联系我们，避免因时间过长影响售后处理。如有任何疑问，随时联系客服为您跟进！
58,您好！关于商品与描述不符及质量问题的政策，给您说明一下： 商品与描述不符（虚假宣传）的情况，支持退换货，运费由卖家承担，不需要您出一分钱。 如果收到的是假货，需要您提供鉴定证明，核实后我们将给予三倍赔偿。 如果是一般质量问题，7天内可申请无理由退换货；超过7天如仍有质量问题，可申请售后维修服务。 如需发起退款或赔偿申请，请联系客服并提供相关凭证（照片、鉴定证明等），我们会尽快为您处理！
64,"""使用吹风机时，安全防护主要包括以下几个方面： 个人防护装备方面，需佩戴合格的听力和眼部防护装备，多尘环境还需戴面罩，穿防滑工作靴，并备好急救箱。<PIC> 人身安全方面，不要穿宽松衣物或佩戴围巾项链，长发需束起；饮酒、服药或疲劳时禁止操作；未成年人不得使用。 操作安全方面，作业区域10米内禁止无关人员和动物进入；严禁将喷口对准人或动物；任何防护装置缺失时不得操作；禁止在通风不良的空间使用，避免吸入废气；不得站在梯子或支架上操作。<PIC> 消音器方面，催化消音器在运行中及停机后均非常烫，注意烫伤和火灾风险，严禁在室内或易燃材料附近启动设备。"", [""Manual04_2"", ""Manual04_3""]"
65,"""您好！使用吹风机时有以下几点安全事项需要注意： 个人防护方面，操作时必须佩戴听力防护装备和眼部防护装备，多尘环境还需佩戴面罩，穿防滑工作鞋。<PIC> 人身安全方面，请勿穿宽松衣物或佩戴围巾，长发需束起；饮酒、服药或疲劳状态下禁止操作；未成年人不得使用。 操作安全方面，作业区域10米内禁止无关人员和动物进入；严禁将喷口对准人或动物；禁止在通风不良的空间操作，避免吸入废气；加油前必须关闭发动机；禁止站在梯子或支架上操作。<PIC> 消音器方面，运行中及停机后消音器温度极高，注意烫伤和火灾风险，严禁在室内或易燃材料附近启动设备。 如有其他问题欢迎继续咨询！"", [""Manual04_2"", ""Manual04_3""]"
66,"""您好！关于225B吹风机的功能与操作，简单说一下：吹风机主要用于吹扫地面落叶及杂物，配备油门扳机调节转速、停机开关关闭发动机、油门锁防止误触，还有减震系统降低振动。<PIC>安装时，将吹风管对准出风口旋转90度听到咔嗒声，再装上喷口同样旋转90度固定。<PIC>操作时用肩带挎在肩上，冷机启动需打开阻风门，热机启动则不用。<PIC> 关于化油器调节：化油器有三颗调节螺钉——低速油针、高速油针和怠速调节螺钉。调节时需根据当地气候、海拔、汽油及二冲程机油类型来适配，建议由专业人员操作。<PIC>"", [""Manual04_5"", ""Manual04_30"", ""Manual04_22"", ""Manual04_17""]"
69,关闭吹风机很简单，松开扳机开关就可以关闭工具，夹头会立即停止转动。如果想锁定工具防止误启动，可以将正反转控制按钮拨到中间位置，这样工具就处于锁定关闭状态了。
70,"""空调主要由室内机和室外机两大部分组成。室内机包含前盖板、空气滤网、3M多重防护滤网、等离子滤网、开/关键、操作指示灯及信号接收器等部件。<PIC>室外机则是负责与外部环境进行热交换的核心单元，内含热交换器盘管等关键组件。<PIC>遥控器作为主要操控工具，配有模式键、温度调节键、风速键、出风方向键及定时功能键等，通过无线信号与室内机通信。<PIC>"", [""Manual01_0"", ""Manual01_1"", ""air_conditioner_01""]"
71,"""遥控器的常用按键位于正面，附加功能按键位于遥控器盖板下方。使用时将遥控器对准空调底部的信号接收器即可操作。<PIC>"", [""air_conditioner_01""]"
72,"""使用遥控器前需先安装7号电池。取下电池盖，<PIC>装入新电池，确保正、负极安装正确，<PIC>然后重新装上电池盖。若遥控器显示屏开始变暗，请及时更换电池。"", [""Manual01_2"", ""Manual01_3""]"
73,"""安装钻头或附件时，工具本身自带无键夹头，无需额外工具，徒手即可操作。步骤如下：先关闭工具并断开电源。一手握住夹头黑色套筒，另一手固定工具，逆时针旋转套筒至开口足够大。<PIC>将附件插入夹头约19毫米，然后一手顺时针旋转套筒紧固，另一手握住工具。<PIC>工具配有自动主轴锁定机构，务必双手操作以达到最大紧固度。<PIC>拆卸时重复前两步逆时针旋开即可。注意：不要通过握住夹头前部并启动工具来拧紧附件，否则可能损坏夹头并造成伤害。"", [""drill0_01"", ""drill0_02"", ""drill0_03""]"
74,"""温度设置方面，按下开/关键开启电源后，反复按模式键选择所需模式（制冷、制热、自动等），再按上升/下降键调整温度，自动转换模式下温度调节范围为18摄氏度至30摄氏度。 快速制冷/制热功能（极速模式）使用步骤：按下开/关键开启电源，然后按下极速键。<PIC> 极速制冷模式下，空调以18摄氏度强风出风30分钟；极速制热模式下，以30摄氏度强风出风30分钟。请注意，循环、自动或自动转换模式下无法使用此功能，部分机型也不支持。"", [""Manual01_16""]"
75,机器内部自清洁很简单，根据脏污程度选择对应方式：轻度脏污时，空载运行预洗程序（不加洗涤剂）；脏污较重时，空载运行长程序并加入洗涤剂，这样就能把内胆清洁干净。 运行前有几点要注意：确保机内没有餐具，洗涤剂按脏污程度适量添加，加完后盖紧洗涤剂盒盖。程序运行中无需干预，结束后微开机门，等内部蒸汽散出后再取用。如果机器内有积水，先按取消程序操作排水再清洁。
77,自动运行模式的开启步骤如下：先按下开机/关机键开机，选好洗涤程序后，按下预约启动键（6）设置所需的延迟时间，剩余时间指示灯（11）会显示倒计时。设置完成后按下启动/暂停/取消键（2），机器开始倒计时，显示屏上预约启动指示灯沙漏（13）和启动图标（12）常亮。倒计时结束后程序自动启动，无需手动操作。
78,"""自动转换运行模式会自动切换制冷/制热，将室温波动控制在2摄氏度以内，使用步骤如下： 按下开/关键开启电源，然后反复按下模式键，选择自动转换运行模式，显示屏上会显示对应标识。<PIC> 接着按上升/下降键设置所需温度，可调范围是18摄氏度到30摄氏度（64-86华氏度）。最后反复按风速键选择合适的风扇转速即可。 请注意，部分机型不支持此功能。"", [""Manual01_20""]"
80,"关于无遥控器时的手动操作方法，检索到的内容主要涵盖驾驶练习指南、安全注意事项及操控装置识别等内容，暂未包含""无遥控器手动操作""的具体说明。建议您查阅随艇附带的《用户/操作手册》，其中有详细的操控装置说明与驾驶前检查步骤，能帮您快速了解手动操作方式。如有其他问题欢迎继续咨询～"
81,您好！关于自动重启功能，在检索到的产品资料中暂未找到相关设置说明。建议您查阅产品随附的完整用户手册，或联系官方客服获取准确指导。
82,"""根据手册内容，空调清洁频率的建议如下：空气滤网建议每两周清洁一次，必要时可增加频率。<PIC>手册同时提到，每两周清洁一次空气滤网有助于防止灰尘堵塞风道、削弱制冷效果。对于3M多重防护滤网，需用吸尘器清理，切勿用水清洗。等离子滤网同样建议定期用吸尘器清理，污垢较难清理时可用温水冲洗。需注意，滤网位置和形状可能因机型不同而有所差异，但手册未针对不同具体型号给出差异化的清洁频率，上述建议适用于所有提及机型。"", [""Manual01_29""]"
83,抱歉，当前提供的手册内容中没有关于空调空气滤网清洁的相关说明，无法为您提供准确答案。建议查阅您空调产品的随附说明书，或联系品牌官方客服获取指导。
84,"""清洁3M多重防护滤网步骤如下：关闭电源并拔下电源线。打开前盖板，取出空气滤网。抽出3M多重防护滤网。<PIC> 用吸尘器清理滤网污垢，切勿用水清洗，以免造成滤网损坏。注意：滤网的位置和形状可能因机型不同而有所差异。"", [""Manual01_33""]"
85,"""好的，等离子滤网的拆卸和清洁步骤如下： 首先关闭电源并拔下电源线，然后打开前盖板，取出空气滤网。接着在10秒内取下等离子滤网。<PIC> 清洁时，用吸尘器清理滤网上的污垢，如果污垢比较顽固，可以用温水冲洗。清洗完后放在阴凉处晾干即可。 注意：滤网的位置可能因机型不同而有所差异，部分机型可能未配备等离子滤网。"", [""Manual01_32""]"
86,"""您好！关于这款二合一蒸汽拖把，给您介绍一下零部件和组装步骤。 主要零部件共27个，包括：拉伸手柄、蒸汽开关、电源线挂钩、手柄杆、提手、手持蒸汽器解锁扣、主机身、肩带、水箱、水箱解锁扣、手持蒸汽器开关、手持蒸汽器电源线释放扣、手持蒸汽器机身、配件收纳架、主机身与拖头固定扣、拖布、拖布释放扣、旋转拖头、电源线，以及玻璃清洁组件、延长管、圆刷（2个尼龙刷+1个铜刷）、角形喷嘴、弧形喷嘴、转接头、喷射喷嘴、清洁布。<PIC> 组装步骤（无需工具）： 第一步，从主机身背部取下固定扣（部件15）。 第二步，将主机身底部滑入旋转拖头（部件18）颈部，注意对齐背部孔位。<PIC> 第三步，将固定扣插入主机身背部孔位，锁紧两部分。<PIC> 第四步，将手柄杆（部件4）插入主机身，听到咔嗒声即表示安装到位。<PIC>"", [""Manual05_1"", ""Manual05_2"", ""Manual05_3"", ""Manual05_4""]"
87,"""您好！关于主要功能与配件，这款主板搭载了5-Way Optimization智能调校，整合了TPU、EPU、DIGI+ VRM、Fan Xpert 3和Turbo App等核心功能。<PIC>其中Fan Xpert 3支持风扇自动调速和多温度传感器选择，EPU负责节能管理，TPU提供Auto Tuning和TurboV超频支持。此外还有RAMCache加速、Media Streamer媒体串流（支持iOS 7和Android 4.0）、Push Notice远程监控、AI Suite 3、USB 3.1 Boost等实用功能，Q-Design系列（Q-Shield、Q-DIMM、Q-LED、Q-Slot）让安装更便捷。使用前准备方面，建议先阅读安全注意事项，<PIC>然后按照产品介绍章节依次完成CPU安装、内存安装、扩展槽配置和接口连接，确认无误后再进行BIOS设置和系统安装。"", [""Manual25_3"", ""Manual29_0""]"
89,"""您好！关于人体工学椅的部件清单和组装步骤，为您介绍如下。 配件清单请参考包装内附的配件详情图。<PIC> 组装步骤如下：先用螺丝将C1与C2组装在一起<PIC>，然后安装脚轮，用底座盖盖住底座中心并安装气杆<PIC>，接着安装底盘，再安装脚踏并套上橡胶圈，将座椅放置在气杆上，在椅背上安装连接件并将连接件安装到底盘后端，对准螺丝孔安装扶手<PIC>，最后安装头枕与腰枕即可完成组装。<PIC>"", [""Manual02_0"", ""Manual02_1"", ""Manual02_2"", ""Manual02_8"", ""Manual02_9""]"
92,"""洗碗机主要部件包括：上层碗篮和下层碗篮，用于分类放置餐具；餐具篮，专门用于清洗叉、勺等餐具；可折叠下层篮架丝，方便放置锅碗等大件物品。控制面板包含开机/关机键、启动/暂停/取消键、显示屏、程序选择键、半载/洗涤块键、预约启动键及把手。<PIC> 指示灯区域包括程序指示灯、盐量指示灯、亮碟剂指示灯、剩余时间指示灯、启动指示灯、预约启动指示灯、半载/洗涤块指示灯及程序进程指示灯。<PIC> 此外还有洗涤剂盒、亮碟剂盒和盐箱，分别用于添加洗涤剂、亮碟剂和软水盐。"", [""Manual06_14"", ""Manual06_15""]"
95,洗涤剂的添加方法：打开洗碗机门，找到洗涤剂盒（通常在门内侧），将洗涤剂放入洗涤剂盒中，然后关紧盒盖。用量方面，建议根据餐具脏污程度适量添加，不要过量。如果使用粉末洗涤剂，请勿将包装存放在潮湿处，尽量密封保存。推荐使用洗涤块（2合1、3合1、4合1、5合1等多效洗涤块），效果更好也更方便。使用洗涤块时可以开启洗涤块功能，按下半载/洗涤块键直至洗涤块指示灯亮起即可。添加完洗涤剂后务必确保洗涤剂盒盖紧闭，否则会影响洗涤效果。
